,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,wounded slain prisoner murder suicide martyr murderer killing deceased murdering,soldier death,fan kangaroo phoenix bark check teacher,note queen cold forest nut check copper jet light,poison ice row bottle code water,card
1,last weekend week day next afternoon time evening morning meeting,trip night key file,temple hawk pass apple,battery laser screen track pitch cross spell jet cricket,crown field theater undertaker fan mouth,china
2,teeth vertebrae spinal jaw bone periodontal vertebra pelvis femur fracture,tooth spine,soul pupil box vacuum church queen,school bugle novel bar apple head trip shoe note,needle mount pool scientist paper pants,cliff
3,restaurant store pub bistro bakery eatery salon lounge dining tavern,shop bar,web undertaker conductor line lead buck,ice turkey pass root pitch charge track casino mammoth,lock marble agent luck cliff microscope,shadow
4,extraterrestrial Star actor galactic actress planet supernatural universe villain spaceship,star alien,tablet paper limousine luck olive horn,apple shop orange seal robot jet shoe eagle play,microscope pit bow opera cross draft,lock
5,footwear sneaker store clothing apparel boots showroom designer casual mall,shop shoe,tick kiwi tail helicopter pit oil,pound trunk parachute cook cell pie code bark nail,shop organ bell spell court cycle,ring
6,potion evil voodoo demon sorcery demonic curse devil antidote venom,witch poison,whale embassy root water part cook,cook gold round kangaroo crane mammoth dwarf death platypus,palm lion check watch leprechaun disease,draft
7,Spy burglar pickpocket espionage assassin smuggler robber hacker saboteur rogue,thief spy,mammoth missile mail queen hand spring,opera carrot file foot princess roulette chair thumb cross,cook fair capital change cast ice,force
8,sing singing music gospel song choir musical sang orchestra joy,grace angel concert play,pound board police spider,date luck octopus revolution maple spot mole dragon bear,shoe bow vet novel game soldier,pool
9,soloist orchestra composer violinist cellist oratorio violist choral soprano concerto,conductor opera,sock lawyer ball platypus shadow port,time swing bond paper stick drop leprechaun cap film,sound beat heart worm nut flute,vacuum
10,credit debit slot number customer option payment cash order purchase,line card,degree pie organ penguin worm doctor,arm comic skyscraper vet palm ray dwarf satellite lab,chest cloak round temple robin bugle,platypus
11,tongue throat finger forefinger swollen licking cheek anus lick fist,mouth thumb,cap robot pound bow worm march,code pie bed casino cycle point date bug switch,wake key circle pupil vacuum teacher,glove
12,marsupial rattlesnake wallaby tarantula platypus lizard crocodile snake koala opossum,kangaroo scorpion,circle chair code iron police light,skyscraper train yard washer hood pirate canada ship server,paste mouse chest draft field dwarf,cast
13,pearl gold satin sapphire emerald carat beaded amethyst silver necklace,ivory diamond train,web nut sound star fire,crane tower web calf knight pan octopus embassy beat,lemon smuggler lawyer mug roulette flute,gas
14,pull slide jump flip bottom push snap grab fall hook,slip drop,mole play honey temple poison fish,luck cricket bug pie telescope platypus novel dwarf nurse,change suit time cold shadow organ,conductor
15,triangular rectangle circle oval rectangular square oblong circular squared sides,triangle round,game eagle worm stream knife battery,fire belt crown flute undertaker calf paper capital tag,satellite block scientist diamond vet jet,bark
