,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,rise decline likely slump drop trend fell coming season rising,spot fall spike,concert engine phoenix fly lawyer,maple stock jam pole ship wave hospital deck robin,tablet platypus poison degree rose theater,straw
1,tonight night catch forget enjoy seeing see wait morning miss,wake watch spot,glove ambulance pirate forest ray,teacher fork worm missile heart hospital cliff mole track,mail arm change spy kiwi life,row
2,skirt suede gown lace wear blouse jeans pants clothes sleeveless,dress shoe wall,bugle note trunk bar bug,drop plot snow web bank novel foot soul capital,fence cricket racket spike temple root,pit
3,strawberry peach tart lemon raspberry pineapple frosting cheesecake caramel banana,orange pie arm,luck shop china sock drop,night pass turkey port smuggler button litter cap satellite,lab helicopter server spell gold fork,head
4,gown frock sleeveless skirt blouse attire wore chiffon tunic strapless,dress cap,bear root box concert superhero part,jack battery palm triangle model torch scorpion microscope sock,cotton net bug tooth parachute ambulance,stock
5,birch walnut cedar cherry alder syrup cranberry hickory oak spruce,canada maple tie,leprechaun wind block school bottle,shop strike arm thumb drill star string pipe pilot,hawk bell mole fire pupil horn,lead
6,handgun revolver rifle semiautomatic carbine firearm holster shotgun sidearm gun,pistol knife,rose link parachute fly spring ghost,nurse dwarf tail green sock tick check fish oil,novel figure berry helicopter shop princess,glass
7,Wind forest rain energy sunlight grass renewable solar sunshine sun,green wind thief,horseshoe nurse knife dinosaur novel,washer ambulance church paste web glove queen port bomb,duck suit vacuum jam bell dice,ruler
8,hind paw snout pig raccoon furry rat fur leg bunny,rabbit tail back,port copper press witch nail,apple well robin check server spring plot ring wall,berry air pirate back mass bank,green
9,morning week afternoon flew trip time arrival flight night hour,wave plane day,root code shoe microscope knight,mount hook undertaker boot duck horse fair jet cell,police seal train lab stick apple,scale
